"","Index","BeginOffset","EndOffset","Score","Text"
"1",0,5,13,0.999177992343903,"Kai Ring"
"2",0,18,20,0.997479140758514,"17"
"3",0,30,41,0.927092909812927,"her sisters"
"4",0,55,69,0.999703764915466,"their hometown"
"5",0,73,82,0.999974131584167,"Myitkyina"
"6",0,84,95,0.999811232089996,"the capital"
"7",0,99,106,0.999943852424622,"Myanmar"
"8",0,106,134,0.994194984436035,"’s northernmost Kachin State"
"9",0,140,149,0.999691903591156,"the world"
"10",0,149,169,0.994237303733826,"’s largest jade mine"
"11",0,174,181,0.998806715011597,"Hpakant"
"12",0,183,189,0.758881092071533,"150 km"
"13",0,28,47,0.852516531944275,"no [industry] other"
"14",0,53,57,0.996125757694244,"jade"
"15",0,65,73,0.99958735704422,"Kai Ring"
"16",0,91,98,0.99984335899353,"capital"
"17",0,0,5,0.999921023845673,"A lot"
"18",0,24,35,0.999970197677612,"her arrival"
"19",0,39,43,0.999988555908203,"1989"
"20",0,50,60,0.999953806400299,"the decade"
"21",0,76,83,0.999959111213684,"Hpakant"
"22",0,83,91,0.999933958053589,"’s mines"
"23",0,111,118,0.999993085861206,"Myanmar"
"24",0,118,133,0.999948680400848,"’s armed forces"
"25",0,144,156,0.999970197677612,"the Tatmadaw"
"26",0,177,188,0.999983310699463,"concessions"
"27",0,202,217,0.999711632728577,"large companies"
"28",0,236,249,0.999838531017303,"military ties"
"29",0,251,259,0.999886691570282,"A frenzy"
"30",0,263,273,0.999973893165588,"excavation"
"31",0,291,295,0.999858379364014,"2014"
"32",0,297,309,0.999897420406342,"the industry"
"33",0,309,321,0.994853734970093,"’s peak year"
"34",0,323,360,0.954530835151672,"environmental watchdog Global Witness"
"35",0,368,374,0.99995744228363,"Kachin"
"36",0,374,387,0.998837530612946,"’s jade trade"
"37",0,397,411,0.856094181537628,"US $31 billion"
"38",0,418,426,0.997644007205963,"50 to 80"
"39",0,431,435,0.999371707439423,"cent"
"40",0,460,465,0.999918460845947,"China"
"41",0,0,7,0.999809563159943,"Hpakant"
"42",0,7,15,0.999808251857758,"’s mines"
"43",0,20,29,0.999854564666748,"the world"
"44",0,29,48,0.999626457691193,"’s largest supplier"
"45",0,52,59,0.998347878456116,"jadeite"
"46",0,61,79,0.783984005451202,"the more lucrative"
"47",0,83,96,0.999743163585663,"two varieties"
"48",0,100,104,0.99979954957962,"jade"
"49",0,112,117,0.999901056289673,"China"
"50",0,121,130,0.999967992305756,"the world"
"51",0,130,146,0.999666571617126,"’s biggest buyer"
"52",0,151,156,0.999804437160492,"China"
"53",0,158,162,0.999772489070892,"jade"
"54",0,186,195,0.999910831451416,"millennia"
"55",0,201,206,0.97989147901535,"today"
